party,topic,text,label
Liberal,"Climate change, energy",The Liberals cut consumer carbon pricing before the campaign,0
Liberal,"Climate change, energy","They plan to introduce incentives to help families invest in clean energy, including reinstating the zero-emissions vehicle subsidy program",0
Liberal,"Climate change, energy",They would tighten the output-based pricing system for large industrial emitters to ensure carbon markets work properly,0
Liberal,"Climate change, energy",They are open to building pipelines and speeding up energy projects,0
Liberal,"Climate change, energy",They would allow Quebec to veto any pipeline on its territory,0
Liberal,"Climate change, energy",They say they would phase out the use of fossil fuels in government buildings by 2030,0
Liberal,"Climate change, energy",They would develop a carbon border adjustment mechanism to tax imports from countries that don’t have comparable carbon pricing,0
Liberal,"Climate change, energy",They would invest $20 million to help the Nunavut Nukkiksautiit Corporation complete the first phase of the development of its hydroelectricity facility,0
Liberal,"Climate change, energy","They would invest $94 million to upgrade power plants in Cambridge Bay, Gjoa Haven, Igloolik and Iqaluit.",0
Conservative,"Climate change, energy","Conservatives would repeal all carbon pricing, including on industrial emitters",1
Conservative,"Climate change, energy","They would boost incentives (e.g., expand tax credits) for businesses that reduce emissions and to promote clean energy technologies",1
Conservative,"Climate change, energy",The party hasn't announced its carbon emissions reduction target,1
Conservative,"Climate change, energy",It would support an east-west pipeline and would approve projects such as LNG Quebec,1
Conservative,"Climate change, energy",The party would be open to exporting oil from the Port of Churchill and has pledged to speed up development of the port.,1
New Democrat,"Climate change, energy",The NDP supported the removal of consumer carbon pricing,2
New Democrat,"Climate change, energy",The party would keep the industrial carbon price,2
New Democrat,"Climate change, energy",It would introduce a border carbon adjustment mechanism to tax imports from countries that don’t have comparable carbon pricing,2
New Democrat,"Climate change, energy","The NDP says it would cut “$18 billion in oil and gas subsidies,” but did not specify which",2
New Democrat,"Climate change, energy",It is against building an LNG pipeline in Quebec and believes the province should have the right to veto energy projects on its territory,2
New Democrat,"Climate change, energy",The party opposes the Energy East project but isn't shutting the door to pipelines,2
New Democrat,"Climate change, energy",It would prioritize creating an east-west electricity grid,2
New Democrat,"Climate change, energy",It would continue the 100 per cent tariff on Chinese-made electric vehicles,2
New Democrat,"Climate change, energy","It would rebate Canadian families and businesses $10,000 for buying or leasing over 12 months a Canadian-manufactured zero-emissions vehicle and $5,000 for buying or leasing a zero-emissions vehicle manufactured elsewhere.",2
Bloc Québécois,"Climate change, energy",The Bloc would respect Quebec's opposition to pipelines and opposes any pipeline project passing through Quebec,3
Bloc Québécois,"Climate change, energy",The party wants to end support for offshore oil and gas exploration in marine protected areas,3
Bloc Québécois,"Climate change, energy",It suggests taxing the profits of oil and gas companies and reinvesting the sums into climate change adaptation initiatives,3
Bloc Québécois,"Climate change, energy",The party would introduce a border carbon adjustment mechanism to tax imports from countries that don’t have comparable carbon pricing,3
Bloc Québécois,"Climate change, energy",It would ask the federal government to increase its share of funding for the Canada-Quebec Nature Agreement fund from $100 million to $300 million. ,3
Green,"Climate change, energy",It would invest in an east-west national electric grid,4
Green,"Climate change, energy",It would respect Quebec's opposition to pipelines,4
Green,"Climate change, energy",It would remove barriers to inter-provincial energy trade,4
Green,"Climate change, energy",It would stop giving public money to oil and gas companies and invest it in clean energy instead,4
Green,"Climate change, energy",It would stop all new fossil fuel projects,4
Green,"Climate change, energy",It would create a new national emergency response agency.,4
